DP1	DP2	DPtotal
5625	171	5800
4528	869	5672
5631	95	5728
4802	792	5597
5525	242	5771
5674	80	5756
5632	56	5692
5247	277	5526
5496	114	5616
4878	253	5137
5081	157	5288
5259	58	5319
5212	120	5335
8330	160	8496
10045	196	10244
9926	443	10377
731	10023	10757
10556	247	10812
10309	290	10600
9849	152	10009
9633	240	9876
8507	469	8981
7406	1319	8912
8670	127	8804
7187	64	7258
6555	152	6715
2861	1524	4388
3832	176	4010
3816	185	4006
5646	1497	7144
7169	100	7273
7392	101	7498
6951	409	7365
7121	212	7340
4538	2177	6722
6565	344	6910
8419	144	8565
8670	147	8821
8678	99	8784
8657	149	8856
1253	8309	9588
442	9569	10532
11271	159	11432
10381	4382	14764
14002	1195	15283
15142	218	15367
14863	520	15391
9285	6013	15320
354	12825	13181
11961	878	12841
12104	273	12389
6462	44	6540
6301	77	6403
6618	1064	7686
4090	3904	8001
10753	995	11752
9451	2918	12375
9901	2936	12841
8074	7785	15865
8182	7744	15927
8601	8092	16717
13250	3510	16782
13194	3431	16731
8935	8894	17839
13564	4733	18310
13610	4721	18347
13671	4573	18252
11176	3675	14860
11160	3669	14831
10600	4000	14614
10872	4003	14877
14404	386	14797
9982	3666	13654
12710	193	13030
4054	2362	8639
8495	143	8638
8422	203	8628
4490	1093	5585
4462	1127	5592
5221	72	5295
4102	998	5103
4514	53	4567
5182	68	5256
7015	324	7341
7294	183	7478
807	6498	7305
6883	155	7049
6759	124	6888
8864	125	9002
2344	8236	10625
10371	351	10761
473	10242	10724
11537	191	11731
3914	7857	11779
11742	260	12024
10890	1464	12364
12055	357	12425
11190	881	12116
10577	1010	11607
2058	8641	10758
10528	237	10818
770	9722	10497
9124	889	10022
3413	6223	9644
9081	218	9313
8364	89	8453
6583	865	7457
4856	50	4919
4809	187	5000
3748	1884	5632
5016	745	5768
5794	86	5883
6137	257	6396
6999	229	7232
6809	501	7313
7049	98	7153
6554	255	6811
6732	57	6789
4952	1373	6327
5797	137	5936
9293	89	9411
9532	424	9965
10444	702	11152
10389	996	11407
6109	4965	11095
6028	5187	11353
12097	247	12350
11320	930	12308
7634	2514	12023
10460	1526	12019
12250	135	12397
9761	2615	12553
10102	1689	12477
11196	1782	13499
14844	217	15086
14801	220	15050
14729	357	15089
14609	344	15007
14590	292	14929
14424	225	14724
14335	271	14638
13854	365	14239
13997	364	14432
14012	365	14381
14142	346	14566
14160	381	14548
14393	227	14689
14573	175	14757
14329	475	14810
14749	127	14935
11308	3426	14770
5714	8689	14421
5348	8700	14268
13616	1204	14822
14408	330	14822
10192	2921	14498
12166	2208	14387
11476	1834	14565
12304	1220	14564
13724	594	14716
14287	260	14564
13891	589	14490
13610	392	14103
13599	336	13954
13616	335	13964
12886	358	13264
12694	505	13249
11799	178	11983
11772	377	12165
11458	151	11614
8783	1186	9974
7514	1679	9201
5251	2341	7599
6834	432	7267
7268	147	7456
7511	72	7593
2744	5387	8135
8032	159	8196
8056	75	8196
8619	80	8704
9043	104	9149
7241	2305	9557
8613	1619	10236
8949	793	9745
8192	133	8334
6634	651	7286
7109	72	7209
7190	87	7313
7115	60	7280
5078	2171	7341
6761	364	7511
7238	480	7836
7619	65	7719
7011	747	7834
7275	1410	9002
7485	1444	9004
9104	274	9392
9127	253	9393
1349	8113	9478
6977	2346	9340
7624	1932	9565
7708	1729	9442
6915	1860	8786
6863	1862	8730
7762	332	8191
7387	373	7767
7207	389	7599
6957	221	7182
1874	3982	5858
7920	387	8309
1087	8087	9179
9895	235	10140
9889	226	10332
9567	472	10212
8692	1422	10291
9939	374	10320
10007	326	10338
9922	225	10168
9704	166	9888
9140	219	9387
6508	2612	9123
8043	740	8786
7914	155	8075
6662	1033	7703
7495	175	7674
6626	1018	7647
2615	4875	7493
7315	105	7421
6999	216	7388
6944	128	7179
1272	5687	7109
6024	890	7118
6944	147	7093
6921	112	7096
6966	120	7086
6165	842	7008
6631	308	6942
6426	97	6525
6291	126	6418
6042	128	6172
6005	120	6128
5790	229	6027
7041	112	7156
7050	161	7213
7173	120	7294
3578	84	3668
3550	158	3709
3677	83	3762
3711	83	3796
4001	42	4045
4053	55	4122
3967	109	4123
4020	58	4081
3280	65	3347
3740	1830	5574
5535	117	5655
5040	906	5948
5991	148	6140
5944	225	6172
6532	82	6619
4851	1792	6647
6241	141	6643
6153	150	6306
4961	1243	6209
5450	465	5917
5463	221	5684
4401	1361	5763
5729	109	5843
6665	186	6852
6585	245	6832
6458	237	6702
6428	246	6675
6329	83	6415
6308	79	6392
589	5913	6512
4316	2702	7027
6849	69	6923
7051	132	7189
7249	138	7390
7104	228	7341
6862	401	7265
7535	135	7675
7496	125	7630
7514	92	7614
5737	900	6657
7530	296	7827
7387	283	7679
7374	313	7694
5817	1023	6851
7565	107	7673
7479	151	7634
7470	206	7680
7277	290	7576
7517	115	7638
5627	1405	7035
7137	157	7306
6233	790	7029
6602	322	7037
5640	872	6522
6345	92	6443
5988	99	6092
5541	237	5784
5087	24	5122
4802	953	5758
6236	281	6520
6728	131	6864
7193	798	7996
7707	326	8039
7958	133	8094
6925	1485	8418
6881	2799	9681
9188	517	9707
9320	237	9566
9403	228	9634
9306	122	9431
9113	183	9299
8087	115	8203
7170	352	7529
7321	183	7537
6835	140	6975
4154	2595	6756
3603	2226	5831
3320	113	3438
3773	53	3828
3428	311	3743
3500	93	3595
3211	289	3501
3099	491	3591
3488	54	3548
3293	46	3342
3159	101	3265
3384	54	3486
3454	76	3531
3569	42	3616
3811	84	3903
4006	91	4100
4130	88	4219
4189	63	4255
4233	58	4291
4124	147	4271
4084	143	4230
3956	38	4001
3432	117	3551
3363	91	3479
3228	112	3340
3204	80	3286
3117	44	3163
2858	315	3173
3024	54	3082
3003	56	3062
2670	43	2714
4683	63	4751
4646	53	4727
8124	227	8374
8175	239	8418
7148	1484	8644
7587	486	8078
7287	242	7537
7014	161	7178
5856	1222	7080
977	5877	6856
6746	81	6833
6272	257	6531
5055	227	5285
4546	388	5226
4726	67	4798
3961	80	4046
7198	211	7414
7308	153	7464
7423	151	7727
7717	160	7888
8522	1328	9851
9845	2138	11986
12053	503	12559
11708	656	12374
10806	1404	12214
11678	430	12121
11099	536	11732
10441	146	10592
5889	153	6044
4203	1951	6157
6936	199	7136
6797	375	7173
6823	382	7205
6952	201	7165
6048	48	6099
4616	363	4982
4816	480	5299
5404	126	5532
5314	243	5560
5649	60	5711
5585	270	5857
4888	986	5875
4847	1095	5944
5208	377	5938
3591	2341	5948
5721	223	5947
5715	215	5932
5622	217	5839
5325	292	5878
5309	422	5743
5453	81	5536
4513	922	5435
6435	93	6604
5802	781	6609
5443	643	6091
3334	3201	6535
6355	276	6637
5744	1224	6971
2057	2810	4869
8735	76	8815
5890	3193	9090
6563	77	6640
7072	141	7214
7147	103	7256
6245	749	7000
6785	42	6831
5106	506	5613
5542	51	5597
5109	482	5625
5937	215	6153
5494	439	5935
4588	39	4631
4665	75	4746
5814	321	6140
4540	814	5367
5410	66	5480
5362	224	5586
5593	379	5973
5047	952	6010
5919	128	6056
5089	576	6142
6056	114	6172
6261	97	6361
6186	148	6341
5953	127	6083
5763	83	5847
5390	198	5783
4470	1058	5745
5444	233	5686
5540	83	5624
5388	188	5579
4964	91	5184
4896	46	5074
4565	487	5055
4764	148	5042
4831	142	4974
4292	106	4417
4160	1952	6114
4716	1901	6619
6678	150	6836
6655	69	6735
6284	67	6354
6030	204	6236
4115	1620	5738
2879	2572	5598
5091	141	5232
4401	705	5110
4438	50	4488
4672	443	5118
4858	79	5194
191	5112	5308
4033	1739	5778
5917	262	6181
5907	444	6354
6033	771	6806
6960	249	7218
6916	368	7350
7385	87	7479
7445	111	7558
7500	365	8028
7834	172	8015
6413	1368	7785
7466	181	7651
6746	274	7028
6680	219	6903
6316	227	6551
7264	196	7461
7341	100	7443
3166	55	3222
3079	144	3225
3420	45	3468
3598	19	3623
2788	750	3605
3591	54	3647
3545	59	3606
3488	97	3586
3531	115	3647
3408	212	3626
3564	129	3694
3271	430	3702
3617	57	3721
3581	53	3635
3149	227	3463
3448	44	3508
2948	106	3415
3005	23	3382
3007	41	3392
3366	78	3444
3358	66	3433
3353	40	3400
3245	61	3314
3262	30	3309
6662	369	7036
6157	48	6205
6633	42	6677
6058	703	6762
6854	368	7227
5993	941	6937
8509	67	8582
3714	24	3797
3721	73	3832
3644	29	3679
3576	36	3640
3565	61	3627
5674	95	5775
7616	288	7912
7529	1024	8557
8296	192	8489
8184	195	8389
6954	1369	8328
8204	119	8323
7870	535	8411
8203	271	8494
7034	1323	8366
8084	183	8277
7862	141	8012
5943	117	6067
833	5174	6008
501	5562	6067
6289	50	6341
6215	142	6362
6017	489	6515
6442	236	6685
6647	256	6916
6823	108	6932
7038	89	7130
5567	1538	7107
6023	1324	7356
7109	144	7260
6947	143	7091
705	6286	6991
809	6084	6992
6509	156	6673
6129	396	6527
4800	945	5746
5889	367	6258
2608	3621	6230
7352	251	7610
7099	472	7577
5221	2264	7664
7430	425	7859
7680	281	7967
7780	421	8211
8204	149	8359
7805	591	8401
1090	7183	8407
7351	948	8300
7461	758	8226
7276	594	8085
5305	137	5558
5410	54	5599
5484	64	5684
5467	70	5672
5305	371	5816
5895	102	6000
5023	1065	6206
5930	213	6315
6286	69	6361
5697	613	6367
5785	586	6374
6109	250	6373
5971	399	6371
6254	141	6405
6249	154	6408
6299	120	6424
6133	268	6403
6299	68	6369
6233	63	6358
5985	301	6340
6247	65	6365
6089	269	6362
6176	45	6223
5977	71	6117
5897	144	6044
5709	328	6038
5600	182	5786
4723	268	4993
4958	109	5068
5147	113	5265
4986	473	5461
5438	49	5495
5341	106	5448
5508	102	5618
5533	323	5861
5792	96	5890
6381	171	6556
6680	161	6842
6900	136	7037
7005	253	7260
7194	360	7557
7414	360	7782
7434	364	7811
7872	140	8018
8085	104	8194
8568	123	8694
7976	696	8677
8741	143	8894
8983	352	9339
9035	376	9421
9163	284	9451
9295	254	9549
9504	235	9743
9555	408	9974
9871	303	10177
9895	320	10221
9979	129	10111
9305	479	9796
9303	79	9390
8743	120	8873
6689	142	6837
6217	216	6435
6206	62	6269
5759	236	5998
5695	236	5932
5616	94	5716
5374	185	5562
7561	94	7659
4449	44	4498
5260	241	5502
5469	274	5746
5331	189	5583
5269	149	5425
5373	135	5512
5620	218	5843
5472	86	5664
3757	1970	5828
5874	52	5987
5950	65	6024
4673	361	5333
1378	5666	7047
6056	132	6200
5658	123	5782
5849	91	5950
4002	2324	6337
6360	104	6468
5989	206	6195
5915	487	6404
5103	579	6506
6093	533	6630
6629	68	6701
6611	251	6865
5569	1373	6948
6227	616	6848
6656	151	6816
7005	227	7343
6570	427	7308
8688	828	9520
9347	111	9460
9792	180	9982
9697	520	10227
9952	481	10521
5946	163	6114
5868	144	6019
5283	87	5370
4626	609	5238
4070	32	4124
3978	73	4071
4042	74	4136
4253	158	4464
5522	71	5596
5466	126	5594
5194	347	5550
5512	209	5726
5595	123	5728
6064	145	6217
6450	98	6551
6244	177	6428
6501	213	6716
7033	215	7272
6880	216	7105
6894	505	7402
7562	284	7855
7525	289	7911
7869	89	7991
8104	359	8469
7881	237	8123
6892	174	7073
5994	37	6070
5540	357	5957
4626	568	5201
4570	461	5034
4680	79	4821
3833	50	3886
3938	32	3972
3722	229	3956
3723	216	3939
3866	78	3945
4241	92	4339
4012	374	4389
4036	382	4421
4737	123	4860
6347	127	6474
7249	309	7560
7440	319	7780
7369	228	7602
7207	151	7363
4640	121	4763
5902	143	6050
6776	155	6932
6584	438	7029
6652	778	7437
5449	1955	7409
6942	491	7437
7051	223	7277
6531	560	7093
6779	53	6836
6680	136	6818
636	6108	6785
4218	174	4398
5498	38	5538
4444	1358	5804
3958	1805	5768
5370	212	5695
4591	377	4973
3555	1622	5245
4156	1152	5312
5063	335	5405
5282	41	5327
5022	216	5573
5374	42	5423
5355	299	5654
5248	398	5685
4907	61	4976
2097	2941	5039
5184	259	5453
5490	348	5849
5797	102	5900
5926	68	6007
5750	325	6080
5074	936	6010
5558	343	5903
5742	81	5866
3315	3004	6319
4301	2103	6408
6656	179	6835
5907	961	6869
7165	280	7456
7468	55	7531
8110	64	8177
7860	310	8185
5937	2896	8837
5971	2894	8868
8904	136	9044
8275	898	9176
5946	2811	8769
5449	3090	8554
7656	130	7786
4746	2539	7574
4783	2507	7299
7123	133	7257
7009	198	7211
4542	2454	7002
4402	2411	6820
6254	72	6327
5896	1087	6990
6240	95	6335
6259	95	6359
5730	380	6116
5412	225	5638
5569	58	5627
4422	1072	5497
5115	203	5319
5082	195	5280
4794	138	5052
7036	938	7978
3619	4342	7968
7689	156	7847
7464	152	7619
7178	341	7524
5328	62	5390
5390	55	5450
5340	56	5399
5093	83	5181
5148	83	5232
5090	28	5119
2472	2377	4855
5486	902	6396
5141	904	6440
6134	388	6523
5179	600	6517
6512	152	6675
5289	1206	6503
5715	815	6536
6419	76	6497
6233	366	6605
5759	819	6584
6482	136	6627
5652	783	6438
6377	77	6457
6318	108	6427
5626	811	6441
3006	3261	6276
5051	1075	6130
6143	95	6241
5635	243	5882
4741	989	5793
5614	124	5744
4969	725	5701
5472	230	5703
6531	105	6639
6551	217	6770
3739	760	4591
9534	1746	11284
10738	543	11288
10698	541	11245
8716	117	8842
3946	121	4075
5278	37	5316
5690	41	5738
5885	134	6023
6208	80	6337
6040	113	6156
4792	1240	6035
5244	205	5455
5419	78	5504
5274	125	5404
5166	268	5438
5375	51	5428
5260	108	5370
4193	44	4251
4348	222	4578
5096	205	5302
5061	354	5421
5401	65	5467
5282	101	5387
5162	149	5317
7650	208	7861
9457	397	9866
7345	71	7420
2805	2901	5708
6047	474	6528
9047	385	9436
9158	387	9546
2300	7767	10070
2192	7783	10121
9605	799	10405
10108	229	10342
8901	1428	10335
9566	798	10366
10651	198	10861
10384	201	10787
8792	1763	10558
9957	210	10169
9054	224	9281
8924	409	9346
8390	136	8528
7764	437	8208
1882	3712	5597
6197	68	6272
5530	431	6393
7367	409	7778
3721	3614	7338
4403	2736	7142
6348	648	6996
5378	50	5431
5385	50	5444
5815	114	5930
3641	103	3817
4685	260	4951
5013	110	5125
5303	411	5782
5153	917	6072
5886	131	6019
5122	1038	6161
6119	89	6213
6266	52	6322
5041	1310	6354
6222	330	6560
6291	291	6583
5389	1231	6623
6513	158	6677
1124	5280	6549
6479	176	6661
1116	5530	6647
1352	5468	6873
6821	73	6896
2948	3977	6927
6777	197	6979
6741	241	6989
7001	185	7187
6516	349	7216
7267	172	7444
6702	312	7018
5474	1250	6825
5661	1130	6793
5078	940	6616
5434	1049	6483
6253	136	6391
5839	301	6159
5405	686	6094
5839	127	5968
5854	182	6038
5446	111	5559
4881	234	5127
843	3368	4234
4051	165	4217
6176	97	6273
5971	320	6292
6881	223	7104
7281	142	7428
7141	355	7502
7486	239	7791
7247	683	7943
7891	159	8054
5967	2116	8085
7071	946	8029
7262	713	7975
7610	347	7962
7754	233	7989
7727	144	7873
7647	144	7812
7088	579	7670
4039	3321	7490
7257	129	7388
6825	269	7097
6610	141	6755
5263	439	5707
6630	282	6923
5804	1309	7121
7031	272	7306
5857	2507	8369
8592	246	8843
8142	1638	9785
8729	996	9732
9404	268	9678
9048	233	9284
7467	329	7800
6390	1585	7981
5865	2300	8167
7726	576	8308
8145	69	8217
6819	1309	8206
7098	393	7504
5630	1686	7318
5919	953	6875
2932	3087	6023
6049	133	6182
6033	66	6162
6075	73	6218
4902	435	5343
5004	344	5352
5198	133	5334
5236	163	5403
5027	415	5444
5252	155	5411
5103	92	5196
4949	200	5151
4630	65	4701
5674	206	5882
6134	96	6238
6764	98	6868
7007	83	7093
7167	112	7284
7316	57	7378
7144	268	7414
7623	74	7700
7388	259	7649
7428	253	7682
6508	222	6766
6373	309	6687
5785	200	5987
4177	98	4347
4324	215	4544
7547	187	7736
9622	158	9784
8919	1659	10581
10742	157	10903
10926	244	11173
8487	2659	11163
8685	892	9594
9119	218	9347
6207	231	6440
4708	76	4788
3901	41	3947
3918	57	3979
3888	121	4013
4014	36	4053
6863	562	7434
7936	431	8454
579	10047	10628
9597	496	10099
9265	173	9442
7753	651	8411
6420	1461	7886
6533	174	6707
307	5059	5369
5105	140	5246
5055	62	5119
5198	434	5634
5425	243	5669
6756	391	7167
7798	71	7871
7629	140	7803
3666	107	3974
3827	56	3996
3836	120	4025
3732	92	3960
3716	78	4005
3743	60	3955
3787	63	3991
3781	129	4002
3878	69	4008
3843	40	3965
3862	57	3989
3901	39	3966
3812	94	3951
3688	95	3943
3787	40	3907
3610	131	3883
5026	130	5159
5383	34	5418
5228	153	5383
3989	1352	5344
4715	196	4915
5084	86	5173
5057	126	5183
5310	1213	6534
6394	268	6802
6994	213	7220
7365	200	7570
6218	842	7640
6840	825	7900
7141	486	8043
8747	791	9546
7859	1430	9544
5426	4256	9686
9673	256	9934
8988	1677	10674
10752	239	10997
9752	1327	11084
9681	1483	11173
11158	518	11873
8328	3592	11923
10487	1588	12088
10937	1242	12183
12220	236	12462
6633	5850	12493
12285	160	12458
9604	2336	11943
11678	155	11836
11201	163	11371
9800	1006	10811
10667	132	10807
7099	3531	10635
9449	594	10054
9205	156	9365
8003	328	8616
7976	500	8490
3753	4457	8218
6824	345	7173
921	5950	7059
6124	394	6532
4803	197	5001
4951	90	5043
5196	104	5308
5173	143	5317
5248	104	5424
5476	69	5552
6161	1325	7502
1977	4230	7615
7598	159	7760
802	7166	7974
5067	2854	7926
6674	562	7242
6919	206	7127
6671	314	6990
6049	800	6856
6548	272	6823
6255	290	6548
5375	799	6330
4498	1682	6182
5994	101	6099
165	5867	6033
4977	542	5854
6860	161	7021
7669	775	8448
8626	186	8816
8096	673	8774
8130	813	8952
8256	155	8417
7323	48	7379
9380	1123	10506
10933	116	11055
10013	1096	11160
9964	1015	11016
11481	129	11612
10179	1445	11626
11444	168	11613
11835	167	12009
11907	170	12079
11879	264	12145
11160	1576	12851
12813	70	12893
11714	792	12612
9480	594	10087
9147	589	9794
8963	782	9751
7125	1211	8340
8172	98	8273
6656	1038	7970
7618	158	7805
6507	918	7432
6996	69	7070
6653	60	6717
7000	369	7394
7358	59	7419
8348	134	8483
8925	222	9154
9248	442	9727
9598	441	10072
9508	463	9982
9577	471	10057
11559	117	11706
11954	182	12144
12207	528	12747
13087	4823	17977
14755	2353	17119
13768	185	13958
13260	239	13583
12793	120	12917
3562	2404	5970
5733	411	6218
5910	438	6358
6334	77	6416
6415	110	6533
4381	2450	6847
6052	197	6253
5699	151	5866
5561	72	5635
5560	72	5633
5423	52	5475
4864	594	5461
783	5030	5822
5163	1386	6558
6708	77	6788
4973	71	5049
5141	997	6142
5158	1021	6186
5476	1260	6740
6751	70	6825
6676	105	6783
6333	52	6388
7017	65	7083
2943	4277	7226
7859	93	7956
8024	69	8097
8088	91	8181
7673	474	8150
7359	719	8081
6813	1008	8125
6970	1054	8027
7538	264	7803
7233	133	7367
6753	286	7040
6406	487	6977
6600	324	6933
6131	399	6535
5236	1263	6503
6220	249	6474
6082	332	6416
5756	104	5924
6498	106	6607
6781	106	6892
6582	173	6764
6076	179	6387
5941	67	6010
5643	110	5805
5646	62	5713
5411	95	5510
5363	103	5480
3846	976	4886
5894	94	5997
3875	42	3919
3748	82	3896
4908	60	4968
5376	68	5447
5402	321	5725
7314	259	7630
8419	323	8747
8222	705	9050
8585	368	9151
8686	680	9370
8889	482	9390
8522	735	9645
9639	165	9814
9577	228	9809
9447	141	9597
8949	611	9567
9305	292	9703
9211	238	9557
9093	312	9512
9182	194	9481
9003	271	9278
9045	188	9236
8854	262	9126
8693	215	8911
7508	543	8215
6364	841	7429
4897	47	4985
4941	72	5041
4784	141	5096
4993	46	5090
5068	29	5123
4835	187	5118
5012	65	5135
4963	77	5139
5003	36	5089
4974	67	5133
4987	116	5200
4782	230	5095
4421	492	5085
4806	217	5083
4919	65	5064
4827	207	5088
5007	47	5081
5165	54	5303
5162	71	5296
5212	79	5332
5245	39	5357
4833	147	5364
5161	78	5348
5193	77	5343
5263	19	5333
5207	53	5340
5100	118	5340
5190	43	5317
5085	99	5342
5120	83	5358
5117	145	5382
5204	69	5350
5215	70	5381
5057	99	5293
5170	30	5313
5170	65	5336
5243	34	5335
5185	58	5332
5173	53	5323
5138	52	5329
5164	58	5335
5128	146	5397
5133	83	5401
4948	152	5418
5137	83	5457
5173	130	5434
5242	38	5441
5131	184	5429
5244	82	5454
5254	88	5460
5323	100	5523
5340	94	5501
5344	80	5517
5386	20	5498
5293	55	5508
5321	67	5536
5322	71	5536
5298	93	5516
5331	111	5539
5358	50	5542
5286	73	5532
5203	191	5536
5383	32	5538
5357	68	5571
5163	324	5556
5393	75	5540
5394	80	5559
5408	90	5561
5421	112	5548
5255	160	5572
5308	128	5540
5334	70	5519
5310	116	5522
5268	111	5516
5203	127	5511
5228	134	5485
5296	68	5456
5161	83	5338
4845	208	5101
4874	158	5071
4810	146	5056
4728	183	4960
4789	32	4855
4731	30	4779
7985	180	8169
8423	186	8612
7509	1616	9143
5661	3005	8669
8390	128	8526
5707	1873	7582
4460	1057	5521
4230	1517	5751
6296	403	6704
5705	1121	6832
6731	94	6829
5546	1240	6790
6390	149	6544
6232	119	6356
4989	74	5064
5272	770	6045
2856	68	2930
2395	655	3055
294	2779	3073
3022	52	3075
2959	137	3096
2909	128	3039
2741	28	2769
6354	294	6658
4677	1609	6291
6444	124	6571
6448	279	6742
5168	4034	9222
9133	302	9449
9109	489	9604
1342	9080	10424
10125	454	10587
10492	455	10950
10076	427	10504
1669	8611	10289
5248	135	5385
7192	110	7303
9343	414	9761
8736	1908	10648
8457	2056	10521
8842	505	9350
6454	503	6963
3585	2029	5619
6871	562	7459
7476	88	7575
8423	171	8605
9563	154	9767
9927	210	10141
8967	1274	10251
11932	181	12115
7849	2575	10439
10040	436	10487
10120	181	10306
10116	141	10262
9921	205	10135
9804	124	9934
9434	254	9730
9302	144	9484
8475	153	8652
8377	90	8515
8014	67	8100
7460	135	7620
6451	158	6695
868	5488	6374
5465	93	5586
4835	58	4923
4447	40	4550
3936	70	4039
3853	90	4025
3933	43	4004
3755	69	3831
3555	149	3727
3639	64	3714
3034	77	3111
3722	37	3762
3666	265	3933
3921	116	4037
4026	41	4069
4088	93	4181
4129	52	4182
4054	100	4158
4022	83	4111
3989	28	4020
3703	187	3892
3841	27	3877
3814	90	3904
3739	28	3769
6316	246	6564
4460	40	4506
3492	1009	4511
4180	26	4210
4210	61	4272
4313	70	4384
171	4242	4419
4364	84	4448
4975	56	5032
5163	73	5248
5217	69	5292
5223	65	5291
5204	153	5360
5093	249	5344
5080	95	5179
4453	385	4839
5752	225	5979
4683	1972	6664
99	8484	8587
5910	2631	8543
3290	2894	6188
8097	122	8255
8345	55	8421
8155	178	8378
8354	98	8495
8597	179	8806
